Event	ID	Name			Wwise Object Path	Notes
	327928446	elevator_drive			\Default Work Unit\elevator_drive	
	1136349558	metal_building_wind			\Default Work Unit\metal_building_wind	
	1208976610	elevator_start			\Default Work Unit\elevator_start	
	1755348276	zeppelin			\Default Work Unit\zeppelin	
	2818913498	elevator_stop			\Default Work Unit\elevator_stop	
	3423202681	rain_on_metal			\Default Work Unit\rain_on_metal	
	4223356368	building_creak			\Default Work Unit\building_creak	
	4242192989	elevator_land			\Default Work Unit\elevator_land	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	67009516	Metal creak 2	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal creak single\Metal creak 2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 2		1440064
	78525029	Elevator creak	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal building\Elevator creak_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Elevator drive\Elevator creak		7525124
	79617372	Elevator start	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal building\Elevator start_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Elevator start		1524064
	158781436	Metal creak 5	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal creak single\Metal creak 5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 5		1360312
	169319037	Metal creak 8	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal creak single\Metal creak 8_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 8		1580780
	205927459	Zeppeliner pumpy	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal building\Zeppeliner pumpy_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Zeppelin\Zeppeliner pumpy		4416064
	216518634	Metal creak 6	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal creak single\Metal creak 6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 6		1440064
	291416864	Metal creak 4	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal creak single\Metal creak 4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 4		947276
	316951342	Elevator stop_4	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Elevator stop_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Elevator stop_4		1344064
	376681258	Elevator rope	D:\Users\Casper Olsen\SPECIALEjaaaaa\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Mac\SFX\Metal building\Elevator rope_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Elevator drive\Elevator rope		4749936
