Event	ID	Name			Wwise Object Path	Notes
	1136349558	metal_building_wind			\Default Work Unit\metal_building_wind	
	2043403999	rain			\Default Work Unit\rain	
	2307991115	wind_harbour			\Default Work Unit\wind_harbour	
	3423202681	rain_on_metal			\Default Work Unit\rain_on_metal	
	4223356368	building_creak			\Default Work Unit\building_creak	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	67009516	Metal creak 2	D:\Users\caol1467\NuGiderJegIkkeMere\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Windows\SFX\Metal creak single\Metal creak 2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 2		1440064
	154830572	rain	D:\Users\caol1467\NuGiderJegIkkeMere\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Windows\SFX\tin roof_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Chase scene\rain		9024064
	158781436	Metal creak 5	D:\Users\caol1467\NuGiderJegIkkeMere\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Windows\SFX\Metal creak single\Metal creak 5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 5		1360312
	169319037	Metal creak 8	D:\Users\caol1467\NuGiderJegIkkeMere\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Windows\SFX\Metal creak single\Metal creak 8_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 8		1580780
	216518634	Metal creak 6	D:\Users\caol1467\NuGiderJegIkkeMere\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Windows\SFX\Metal creak single\Metal creak 6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 6		1440064
	291416864	Metal creak 4	D:\Users\caol1467\NuGiderJegIkkeMere\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Windows\SFX\Metal creak single\Metal creak 4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 4		947276
	509047898	Rain metal_mix2	D:\Users\caol1467\NuGiderJegIkkeMere\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Windows\SFX\Rain metal_mix2_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Rain metal_mix2		17356864
	694582602	Metal creak continuous_mix2	D:\Users\caol1467\NuGiderJegIkkeMere\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Windows\SFX\Metal creak continuous_mix2_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak continuous_mix2		22746064
	896620618	Heavy wind_mix2	D:\Users\caol1467\NuGiderJegIkkeMere\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Windows\SFX\Heavy wind_mix2_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Heavy wind_mix2		11904064
	897633259	Metal creak 7	D:\Users\caol1467\NuGiderJegIkkeMere\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Windows\SFX\Metal creak single\Metal creak 7_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 7		1152064
	922830189	Metal creak 1	D:\Users\caol1467\NuGiderJegIkkeMere\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Windows\SFX\Metal creak single\Metal creak 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 1		1440064
	1049331800	Metal creak 3	D:\Users\caol1467\NuGiderJegIkkeMere\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Windows\SFX\Metal creak single\Metal creak 3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Metal building\Metal creak single\Metal creak 3		1344064
	1057558594	Wind	D:\Users\caol1467\NuGiderJegIkkeMere\ThisIsItTheLastFuckingProject4Real\FinalFuckingProject_WwiseProject\.cache\Windows\SFX\Harbour\Wind_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Harbour\Wind		38223420

